site_code,status,lat,long,segment_start,segment_end,land_use_class,nlcd_code,nlcd_snapshot_year
AA-17,Ended,33.4520226552311,-111.801202844851,2002-06-23,2006-01-01,"Developed, medium intensity",23,2001
AA-17,Ended,33.4520226552311,-111.801202844851,2006-01-01,2011-01-01,"Developed, medium intensity",23,2006
AA-17,Ended,33.4520226552311,-111.801202844851,2011-01-01,2016-01-01,"Developed, medium intensity",23,2011
AA-17,Ended,33.4520226552311,-111.801202844851,2016-01-01,2016-11-04,"Developed, medium intensity",23,2016
AB-19,Active,33.3516219330871,-111.773602410908,2002-06-10,2006-01-01,"Developed, low intensity",22,2001
AB-19,Active,33.3516219330871,-111.773602410908,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AB-19,Active,33.3516219330871,-111.773602410908,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
AB-19,Active,33.3516219330871,-111.773602410908,2016-01-01,2019-01-01,"Developed, low intensity",22,2016
AB-19,Active,33.3516219330871,-111.773602410908,2019-01-01,2025-12-03,"Developed, low intensity",22,2019
AC-16,Ended,33.4796230526047,-111.71940537725,2002-06-18,2006-01-01,"Developed, low intensity",22,2001
AC-16,Ended,33.4796230526047,-111.71940537725,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AC-16,Ended,33.4796230526047,-111.71940537725,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
AC-16,Ended,33.4796230526047,-111.71940537725,2016-01-01,2016-11-04,"Developed, low intensity",22,2016
AC-20,Ended,33.3430714725017,-111.723026646088,2004-11-08,2006-01-01,"Developed, low intensity",22,2001
AC-20,Ended,33.3430714725017,-111.723026646088,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
AC-20,Ended,33.3430714725017,-111.723026646088,2011-01-01,2014-11-06,"Developed, low intensity",22,2011
AD-10,Active,33.6768121826018,-111.711467800824,2002-06-18,2006-01-01,Shrub/scrub,52,2001
AD-10,Active,33.6768121826018,-111.711467800824,2006-01-01,2011-01-01,Shrub/scrub,52,2006
AD-10,Active,33.6768121826018,-111.711467800824,2011-01-01,2016-01-01,Shrub/scrub,52,2011
AD-10,Active,33.6768121826018,-111.711467800824,2016-01-01,2019-01-01,Shrub/scrub,52,2016
AD-10,Active,33.6768121826018,-111.711467800824,2019-01-01,2025-12-03,Shrub/scrub,52,2019
ADODAM,Ended,33.690745048336,-112.139458178184,1998-05-04,2001-01-01,Shrub/scrub,52,2001
ADODAM,Ended,33.690745048336,-112.139458178184,2001-01-01,2006-01-01,Shrub/scrub,52,2001
ADODAM,Ended,33.690745048336,-112.139458178184,2006-01-01,2011-01-01,Shrub/scrub,52,2006
ADODAM,Ended,33.690745048336,-112.139458178184,2011-01-01,2016-01-01,Shrub/scrub,52,2011
ADODAM,Ended,33.690745048336,-112.139458178184,2016-01-01,2016-11-03,Shrub/scrub,52,2016
AF-12,Active,33.6101107876032,-111.622250905326,2002-06-18,2006-01-01,Shrub/scrub,52,2001
AF-12,Active,33.6101107876032,-111.622250905326,2006-01-01,2011-01-01,Shrub/scrub,52,2006
AF-12,Active,33.6101107876032,-111.622250905326,2011-01-01,2016-01-01,Shrub/scrub,52,2011
AF-12,Active,33.6101107876032,-111.622250905326,2016-01-01,2019-01-01,Shrub/scrub,52,2016
AF-12,Active,33.6101107876032,-111.622250905326,2019-01-01,2025-12-03,Shrub/scrub,52,2019
ALF202,Ended,33.4346569708876,-111.867874714617,1998-06-18,2001-01-01,Cultivated crops,82,2001
ALF202,Ended,33.4346569708876,-111.867874714617,2001-01-01,2001-09-03,Cultivated crops,82,2001
ALF91,Ended,33.5511757014371,-112.254054623254,1999-06-18,2001-01-01,Cultivated crops,82,2001
ALF91,Ended,33.5511757014371,-112.254054623254,2001-01-01,2001-11-26,Cultivated crops,82,2001
ALFCHA,Ended,33.3028279145498,-111.961860676849,1998-06-11,2001-01-01,Shrub/scrub,52,2001
ALFCHA,Ended,33.3028279145498,-111.961860676849,2001-01-01,2001-08-27,Shrub/scrub,52,2001
ALFPOW,Ended,33.3501109283215,-111.700172246776,1998-06-03,2001-01-01,Cultivated crops,82,2001
ALFPOW,Ended,33.3501109283215,-111.700172246776,2001-01-01,2006-01-01,Cultivated crops,82,2001
ALFPOW,Ended,33.3501109283215,-111.700172246776,2006-01-01,2011-01-01,Cultivated crops,82,2006
ALFPOW,Ended,33.3501109283215,-111.700172246776,2011-01-01,2011-10-13,Cultivated crops,82,2011
BD,Ended,33.3962676558612,-111.928658681889,1999-06-04,2001-01-01,"Developed, medium intensity",23,2001
BD,Ended,33.3962676558612,-111.928658681889,2001-01-01,2001-11-05,"Developed, medium intensity",23,2001
BM,Ended,33.4111335748115,-111.946111080832,1999-06-10,2001-01-01,"Developed, medium intensity",23,2001
BM,Ended,33.4111335748115,-111.946111080832,2001-01-01,2001-08-27,"Developed, medium intensity",23,2001
CINWES,Ended,33.3652932945632,-111.688724182307,1998-06-03,2001-01-01,Shrub/scrub,52,2001
CINWES,Ended,33.3652932945632,-111.688724182307,2001-01-01,2002-04-14,Shrub/scrub,52,2001
CONSTO,Ended,33.3278570793095,-111.959270344997,1998-06-25,2001-01-01,"Developed, medium intensity",23,2001
CONSTO,Ended,33.3278570793095,-111.959270344997,2001-01-01,2001-02-12,"Developed, medium intensity",23,2001
COTPEO,Ended,33.6109917025689,-112.238030262644,1998-06-25,1999-07-16,Cultivated crops,82,2001
DBG,Active,33.4637247839266,-111.94228242474,1998-04-23,2001-01-01,Shrub/scrub,52,2001
DBG,Active,33.4637247839266,-111.94228242474,2001-01-01,2006-01-01,Shrub/scrub,52,2001
DBG,Active,33.4637247839266,-111.94228242474,2006-01-01,2011-01-01,Shrub/scrub,52,2006
DBG,Active,33.4637247839266,-111.94228242474,2011-01-01,2016-01-01,Shrub/scrub,52,2011
DBG,Active,33.4637247839266,-111.94228242474,2016-01-01,2019-01-01,Shrub/scrub,52,2016
DBG,Active,33.4637247839266,-111.94228242474,2019-01-01,2025-12-03,Shrub/scrub,52,2019
DREAMY,Active,33.5639095387747,-112.027386072922,1999-06-25,2001-01-01,Shrub/scrub,52,2001
DREAMY,Active,33.5639095387747,-112.027386072922,2001-01-01,2006-01-01,Shrub/scrub,52,2001
DREAMY,Active,33.5639095387747,-112.027386072922,2006-01-01,2011-01-01,Shrub/scrub,52,2006
DREAMY,Active,33.5639095387747,-112.027386072922,2011-01-01,2016-01-01,Shrub/scrub,52,2011
DREAMY,Active,33.5639095387747,-112.027386072922,2016-01-01,2019-01-01,Shrub/scrub,52,2016
DREAMY,Active,33.5639095387747,-112.027386072922,2019-01-01,2025-12-03,Shrub/scrub,52,2019
DUNCAN,Ended,33.4930049392858,-112.428709461105,2005-01-24,2005-08-27,Shrub/scrub,52,2001
ESTREL,Ended,33.3693829136961,-112.369063512854,1999-06-18,2001-01-01,Shrub/scrub,52,2001
ESTREL,Ended,33.3693829136961,-112.369063512854,2001-01-01,2002-04-22,Shrub/scrub,52,2001
HONEY,Ended,33.6587426648337,-112.111653652012,1998-06-25,2001-01-01,"Developed, high intensity",24,2001
HONEY,Ended,33.6587426648337,-112.111653652012,2001-01-01,2002-04-22,"Developed, high intensity",24,2001
I-17,Active,33.4407385401792,-112.577118210717,2002-04-29,2006-01-01,Shrub/scrub,52,2001
I-17,Active,33.4407385401792,-112.577118210717,2006-01-01,2011-01-01,Shrub/scrub,52,2006
I-17,Active,33.4407385401792,-112.577118210717,2011-01-01,2016-01-01,Shrub/scrub,52,2011
I-17,Active,33.4407385401792,-112.577118210717,2016-01-01,2019-01-01,Shrub/scrub,52,2016
I-17,Active,33.4407385401792,-112.577118210717,2019-01-01,2025-12-03,Shrub/scrub,52,2019
INSIGH,Ended,33.3568403907355,-111.967933959926,1998-06-03,2001-01-01,Shrub/scrub,52,2001
INSIGH,Ended,33.3568403907355,-111.967933959926,2001-01-01,2002-04-01,Shrub/scrub,52,2001
JOHNIC,Ended,33.6148677239777,-112.121587195643,1998-06-25,2001-01-01,"Developed, low intensity",22,2001
JOHNIC,Ended,33.6148677239777,-112.121587195643,2001-01-01,2002-04-22,"Developed, low intensity",22,2001
L-7,Ended,33.7810628038784,-112.452132617254,2002-04-29,2006-01-01,Shrub/scrub,52,2001
L-7,Ended,33.7810628038784,-112.452132617254,2006-01-01,2011-01-01,Shrub/scrub,52,2006
L-7,Ended,33.7810628038784,-112.452132617254,2011-01-01,2016-01-01,Shrub/scrub,52,2011
L-7,Ended,33.7810628038784,-112.452132617254,2016-01-01,2016-10-27,Shrub/scrub,52,2016
M-16,Ended,33.4867125250509,-112.443900947877,2004-10-25,2006-01-01,Cultivated crops,82,2001
M-16,Ended,33.4867125250509,-112.443900947877,2006-01-01,2011-01-01,Cultivated crops,82,2006
M-16,Ended,33.4867125250509,-112.443900947877,2011-01-01,2016-01-01,Cultivated crops,82,2011
M-16,Ended,33.4867125250509,-112.443900947877,2016-01-01,2016-11-03,Cultivated crops,82,2016
MCDOW,Ended,33.7084260784591,-111.700299569157,1999-06-17,2001-01-01,Shrub/scrub,52,2001
MCDOW,Ended,33.7084260784591,-111.700299569157,2001-01-01,2002-04-15,Shrub/scrub,52,2001
MORR-2,Ended,33.3349725412268,-111.723830114628,2002-06-25,2004-07-22,Cultivated crops,82,2001
MVLH2,Ended,33.4113135318511,-111.68804376769,1999-06-17,2001-01-01,"Developed, high intensity",24,2001
MVLH2,Ended,33.4113135318511,-111.68804376769,2001-01-01,2002-04-14,"Developed, high intensity",24,2001
MW,Ended,33.4371386326008,-111.723149286644,1999-06-16,2001-01-01,"Developed, low intensity",22,2001
MW,Ended,33.4371386326008,-111.723149286644,2001-01-01,2001-08-07,"Developed, low intensity",22,2001
NDV-C,Ended,33.3121904851953,-111.677617865112,2004-02-08,2006-01-01,"Developed, open space",21,2001
NDV-C,Ended,33.3121904851953,-111.677617865112,2006-01-01,2011-01-01,"Developed, open space",21,2006
NDV-C,Ended,33.3121904851953,-111.677617865112,2011-01-01,2016-01-01,"Developed, open space",21,2011
NDV-C,Ended,33.3121904851953,-111.677617865112,2016-01-01,2016-11-04,"Developed, open space",21,2016
NDV-M,Ended,33.3107477765054,-111.680832479085,2004-01-05,2006-01-01,"Developed, low intensity",22,2001
NDV-M,Ended,33.3107477765054,-111.680832479085,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
NDV-M,Ended,33.3107477765054,-111.680832479085,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
NDV-M,Ended,33.3107477765054,-111.680832479085,2016-01-01,2016-11-04,"Developed, low intensity",22,2016
NDV-N,Ended,33.3141839639142,-111.680826770754,2004-01-05,2006-01-01,"Developed, open space",21,2001
NDV-N,Ended,33.3141839639142,-111.680826770754,2006-01-01,2011-01-01,"Developed, open space",21,2006
NDV-N,Ended,33.3141839639142,-111.680826770754,2011-01-01,2016-01-01,"Developed, open space",21,2011
NDV-N,Ended,33.3141839639142,-111.680826770754,2016-01-01,2016-11-04,"Developed, open space",21,2016
NDV-O,Ended,33.3115875233163,-111.678497921549,2004-01-05,2006-01-01,"Developed, open space",21,2001
NDV-O,Ended,33.3115875233163,-111.678497921549,2006-01-01,2011-01-01,"Developed, open space",21,2006
NDV-O,Ended,33.3115875233163,-111.678497921549,2011-01-01,2016-01-01,"Developed, open space",21,2011
NDV-O,Ended,33.3115875233163,-111.678497921549,2016-01-01,2016-11-04,"Developed, open space",21,2016
NDV-X,Ended,33.3123016229478,-111.680904485973,2004-01-05,2006-01-01,"Developed, open space",21,2001
NDV-X,Ended,33.3123016229478,-111.680904485973,2006-01-01,2011-01-01,"Developed, open space",21,2006
NDV-X,Ended,33.3123016229478,-111.680904485973,2011-01-01,2016-01-01,"Developed, open space",21,2011
NDV-X,Ended,33.3123016229478,-111.680904485973,2016-01-01,2016-11-04,"Developed, open space",21,2016
NL,Ended,33.408584512757,-111.933062724397,1999-06-10,2001-01-01,"Developed, low intensity",22,2001
NL,Ended,33.408584512757,-111.933062724397,2001-01-01,2002-04-01,"Developed, low intensity",22,2001
NM,Ended,33.5988256211704,-112.070330684037,1999-06-25,2001-01-01,Shrub/scrub,52,2001
NM,Ended,33.5988256211704,-112.070330684037,2001-01-01,2002-04-15,Shrub/scrub,52,2001
O-9,Active,33.7061077644428,-112.356972687368,2002-05-08,2006-01-01,Shrub/scrub,52,2001
O-9,Active,33.7061077644428,-112.356972687368,2006-01-01,2011-01-01,Shrub/scrub,52,2006
O-9,Active,33.7061077644428,-112.356972687368,2011-01-01,2016-01-01,Shrub/scrub,52,2011
O-9,Active,33.7061077644428,-112.356972687368,2016-01-01,2019-01-01,Shrub/scrub,52,2016
O-9,Active,33.7061077644428,-112.356972687368,2019-01-01,2025-12-03,Shrub/scrub,52,2019
OCOTIL,Ended,33.4262309147096,-111.915134821055,1998-06-18,2001-01-01,Shrub/scrub,52,2001
OCOTIL,Ended,33.4262309147096,-111.915134821055,2001-01-01,2002-04-15,Shrub/scrub,52,2001
P-18,Ended,33.4115948090257,-112.28979604125,2002-10-07,2006-01-01,Cultivated crops,82,2001
P-18,Ended,33.4115948090257,-112.28979604125,2006-01-01,2011-01-01,Cultivated crops,82,2006
P-18,Ended,33.4115948090257,-112.28979604125,2011-01-01,2016-01-01,Cultivated crops,82,2011
P-18,Ended,33.4115948090257,-112.28979604125,2016-01-01,2016-11-03,Cultivated crops,82,2016
Q-16,Ended,33.4787332553072,-112.264962475768,2004-10-25,2006-01-01,Cultivated crops,82,2001
Q-16,Ended,33.4787332553072,-112.264962475768,2006-01-01,2011-01-01,Cultivated crops,82,2006
Q-16,Ended,33.4787332553072,-112.264962475768,2011-01-01,2016-01-01,Cultivated crops,82,2011
Q-16,Ended,33.4787332553072,-112.264962475768,2016-01-01,2016-11-03,Cultivated crops,82,2016
Q-7,Ended,33.7842434249107,-112.250027706237,2002-06-02,2006-01-01,Shrub/scrub,52,2001
Q-7,Ended,33.7842434249107,-112.250027706237,2006-01-01,2011-01-01,Shrub/scrub,52,2006
Q-7,Ended,33.7842434249107,-112.250027706237,2011-01-01,2016-01-01,Shrub/scrub,52,2011
Q-7,Ended,33.7842434249107,-112.250027706237,2016-01-01,2016-10-27,Shrub/scrub,52,2016
ROBWEL,Ended,33.4086126435416,-111.944670555587,1998-06-11,2001-01-01,"Developed, medium intensity",23,2001
ROBWEL,Ended,33.4086126435416,-111.944670555587,2001-01-01,2001-11-26,"Developed, medium intensity",23,2001
ROTHE,Ended,33.6555528057882,-112.207862007253,1999-06-18,2001-01-01,"Developed, low intensity",22,2001
ROTHE,Ended,33.6555528057882,-112.207862007253,2001-01-01,2002-04-22,"Developed, low intensity",22,2001
SM2,Ended,33.3343469859043,-112.01503281279,1999-02-15,2001-01-01,Shrub/scrub,52,2001
SM2,Ended,33.3343469859043,-112.01503281279,2001-01-01,2002-04-01,Shrub/scrub,52,2001
STHMTN,Ended,33.3593384212747,-112.004250130261,1998-04-23,2001-01-01,Shrub/scrub,52,2001
STHMTN,Ended,33.3593384212747,-112.004250130261,2001-01-01,2002-02-13,Shrub/scrub,52,2001
T-11,Active,33.6481400293062,-112.133374753714,2002-07-15,2006-01-01,"Developed, medium intensity",23,2001
T-11,Active,33.6481400293062,-112.133374753714,2006-01-01,2011-01-01,"Developed, medium intensity",23,2006
T-11,Active,33.6481400293062,-112.133374753714,2011-01-01,2016-01-01,"Developed, medium intensity",23,2011
T-11,Active,33.6481400293062,-112.133374753714,2016-01-01,2019-01-01,"Developed, medium intensity",23,2016
T-11,Active,33.6481400293062,-112.133374753714,2019-01-01,2025-12-03,"Developed, medium intensity",23,2019
U-12,Active,33.6272424448546,-112.078296394668,2002-06-02,2006-01-01,"Developed, medium intensity",23,2001
U-12,Active,33.6272424448546,-112.078296394668,2006-01-01,2011-01-01,"Developed, medium intensity",23,2006
U-12,Active,33.6272424448546,-112.078296394668,2011-01-01,2016-01-01,"Developed, medium intensity",23,2011
U-12,Active,33.6272424448546,-112.078296394668,2016-01-01,2019-01-01,"Developed, medium intensity",23,2016
U-12,Active,33.6272424448546,-112.078296394668,2019-01-01,2025-12-03,"Developed, medium intensity",23,2019
USERY,Ended,33.4712988086668,-111.61479515834,1998-04-23,2001-01-01,Shrub/scrub,52,2001
USERY,Ended,33.4712988086668,-111.61479515834,2001-01-01,2002-04-14,Shrub/scrub,52,2001
V-14,Active,33.552205384792,-112.054564844392,2002-06-03,2006-01-01,"Developed, medium intensity",23,2001
V-14,Active,33.552205384792,-112.054564844392,2006-01-01,2011-01-01,"Developed, medium intensity",23,2006
V-14,Active,33.552205384792,-112.054564844392,2011-01-01,2016-01-01,"Developed, medium intensity",23,2011
V-14,Active,33.552205384792,-112.054564844392,2016-01-01,2019-01-01,"Developed, medium intensity",23,2016
V-14,Active,33.552205384792,-112.054564844392,2019-01-01,2025-12-03,"Developed, medium intensity",23,2019
V-16,Ended,33.4704568296901,-112.046875122543,2002-06-03,2006-01-01,"Developed, high intensity",24,2001
V-16,Ended,33.4704568296901,-112.046875122543,2006-01-01,2011-01-01,"Developed, high intensity",24,2006
V-16,Ended,33.4704568296901,-112.046875122543,2011-01-01,2016-01-01,"Developed, high intensity",24,2011
V-16,Ended,33.4704568296901,-112.046875122543,2016-01-01,2016-07-29,"Developed, high intensity",24,2016
VALLUT,Ended,33.4109783495036,-111.687490064587,1998-06-03,1999-04-09,"Developed, high intensity",24,2001
W-15,Active,33.5238500046792,-111.992469914085,2002-06-03,2006-01-01,"Developed, low intensity",22,2001
W-15,Active,33.5238500046792,-111.992469914085,2006-01-01,2011-01-01,"Developed, low intensity",22,2006
W-15,Active,33.5238500046792,-111.992469914085,2011-01-01,2016-01-01,"Developed, low intensity",22,2011
W-15,Active,33.5238500046792,-111.992469914085,2016-01-01,2019-01-01,"Developed, low intensity",22,2016
W-15,Active,33.5238500046792,-111.992469914085,2019-01-01,2025-12-03,"Developed, low intensity",22,2019
W-17,Ended,33.4444599457256,-112.000335467346,2002-06-03,2006-01-01,"Developed, medium intensity",23,2001
W-17,Ended,33.4444599457256,-112.000335467346,2006-01-01,2011-01-01,"Developed, medium intensity",23,2006
W-17,Ended,33.4444599457256,-112.000335467346,2011-01-01,2016-01-01,"Developed, medium intensity",23,2011
W-17,Ended,33.4444599457256,-112.000335467346,2016-01-01,2016-10-28,"Developed, medium intensity",23,2016
W-6,Ended,33.8204250130355,-112.010594267947,2002-06-02,2006-01-01,Shrub/scrub,52,2001
W-6,Ended,33.8204250130355,-112.010594267947,2006-01-01,2011-01-01,Shrub/scrub,52,2006
W-6,Ended,33.8204250130355,-112.010594267947,2011-01-01,2016-01-01,Shrub/scrub,52,2011
W-6,Ended,33.8204250130355,-112.010594267947,2016-01-01,2016-10-27,Shrub/scrub,52,2016
Y-19,Active,33.3772947274481,-111.915146573637,2002-06-10,2006-01-01,"Developed, medium intensity",23,2001
Y-19,Active,33.3772947274481,-111.915146573637,2006-01-01,2011-01-01,"Developed, medium intensity",23,2006
Y-19,Active,33.3772947274481,-111.915146573637,2011-01-01,2016-01-01,"Developed, medium intensity",23,2011
Y-19,Active,33.3772947274481,-111.915146573637,2016-01-01,2019-01-01,"Developed, medium intensity",23,2016
Y-19,Active,33.3772947274481,-111.915146573637,2019-01-01,2025-12-03,"Developed, medium intensity",23,2019
Bell,Active,33.64092797,-111.85715019,2012-02-23,2016-01-01,Shrub/scrub,52,2011
Bell,Active,33.64092797,-111.85715019,2016-01-01,2019-01-01,Shrub/scrub,52,2016
Bell,Active,33.64092797,-111.85715019,2019-01-01,2025-12-03,Shrub/scrub,52,2019
Gateway,Active,33.644507375,-111.84884062,2012-02-23,2016-01-01,Shrub/scrub,52,2011
Gateway,Active,33.644507375,-111.84884062,2016-01-01,2019-01-01,Shrub/scrub,52,2016
Gateway,Active,33.644507375,-111.84884062,2019-01-01,2025-12-03,Shrub/scrub,52,2019
Mine,Ended,33.652722605,-111.788845595,2012-03-02,2014-12-08,Shrub/scrub,52,2011
Prospector,Ended,33.65168216,-111.797182615,2012-03-02,2014-12-08,Shrub/scrub,52,2011
Rincon,Active,33.597271495,-111.810251345,2012-03-02,2016-01-01,Shrub/scrub,52,2011
Rincon,Active,33.597271495,-111.810251345,2016-01-01,2019-01-01,Shrub/scrub,52,2016
Rincon,Active,33.597271495,-111.810251345,2019-01-01,2025-12-03,Shrub/scrub,52,2019
Sunrise,Active,33.60752663,-111.804051625,2012-03-02,2016-01-01,Shrub/scrub,52,2011
Sunrise,Active,33.60752663,-111.804051625,2016-01-01,2019-01-01,Shrub/scrub,52,2016
Sunrise,Active,33.60752663,-111.804051625,2019-01-01,2025-12-03,Shrub/scrub,52,2019
Dixileta,Active,33.75610739,-111.844353495,2012-02-23,2016-01-01,Shrub/scrub,52,2011
Dixileta,Active,33.75610739,-111.844353495,2016-01-01,2019-01-01,Shrub/scrub,52,2016
Dixileta,Active,33.75610739,-111.844353495,2019-01-01,2025-12-03,Shrub/scrub,52,2019
LoneMtn,Active,33.76264058,-111.842862815,2012-02-23,2016-01-01,Shrub/scrub,52,2011
LoneMtn,Active,33.76264058,-111.842862815,2016-01-01,2019-01-01,Shrub/scrub,52,2016
LoneMtn,Active,33.76264058,-111.842862815,2019-01-01,2025-12-03,Shrub/scrub,52,2019
Paraiso,Active,33.693904995,-111.81341669,2012-02-23,2016-01-01,Shrub/scrub,52,2011
Paraiso,Active,33.693904995,-111.81341669,2016-01-01,2019-01-01,Shrub/scrub,52,2016
Paraiso,Active,33.693904995,-111.81341669,2019-01-01,2025-12-03,Shrub/scrub,52,2019
TomThumb,Active,33.691912325000004,-111.80063395,2012-02-23,2016-01-01,Shrub/scrub,52,2011
TomThumb,Active,33.691912325000004,-111.80063395,2016-01-01,2019-01-01,Shrub/scrub,52,2016
TomThumb,Active,33.691912325000004,-111.80063395,2019-01-01,2025-12-03,Shrub/scrub,52,2019
S-17,Ended,33.4219689637464,-112.18205236641,2004-10-25,2006-01-01,Shrub/scrub,52,2001
S-17,Ended,33.4219689637464,-112.18205236641,2006-01-01,2011-01-01,Shrub/scrub,52,2006
S-17,Ended,33.4219689637464,-112.18205236641,2011-01-01,2012-07-13,"Developed, low intensity",22,2011
